created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-06-26 00:00:00 UTC,5.85,8.71,9.48,37244.00,-57.70,82.75,37.82,8.33
2019-06-27 00:00:00 UTC,3.61,4.80,5.08,38684.00,-57.32,82.54,34.37,4.80,
2019-06-27 00:00:00 UTC,3.61,4.80,5.08,38684.00,-57.32,82.54,34.37,4.80
2019-06-28 00:00:00 UTC,7.89,12.22,13.78,40124.00,-57.69,84.38,34.12,10.64,
2019-06-28 00:00:00 UTC,7.89,12.22,13.78,40124.00,-57.69,84.38,34.12,10.64
2019-06-29 00:00:00 UTC,7.77,11.21,11.89,41564.00,-58.28,87.30,36.46,11.21,
2019-06-29 00:00:00 UTC,7.77,11.21,11.89,41564.00,-58.28,87.30,36.46,11.21
2019-06-30 00:00:00 UTC,5.27,7.68,8.40,43004.00,-57.27,85.90,31.79,7.32,
2019-06-30 00:00:00 UTC,5.27,7.68,8.40,43004.00,-57.27,85.90,31.79,7.32
2019-07-01 00:00:00 UTC,3.58,6.06,7.15,44444.00,-58.47,83.59,30.66,5.14,
2019-07-01 00:00:00 UTC,3.58,6.06,7.15,44444.00,-58.47,83.59,30.66,5.14
2019-07-02 00:00:00 UTC,1.88,2.72,2.96,45884.00,-60.42,82.92,29.29,2.72,
2019-07-02 00:00:00 UTC,1.88,2.72,2.96,45884.00,-60.42,82.92,29.29,2.72
2019-07-03 00:00:00 UTC,6.02,9.63,11.26,47324.89,-59.81,82.90,28.82,8.27,
2019-07-03 00:00:00 UTC,6.02,9.63,11.26,47324.89,-59.81,82.90,28.82,8.27
2019-07-04 00:00:00 UTC,7.51,10.26,10.97,48764.00,-62.29,84.66,30.00,9.23,
2019-07-04 00:00:00 UTC,7.51,10.26,10.97,48764.00,-62.29,84.66,30.00,9.23
2019-07-05 00:00:00 UTC,9.42,14.72,16.94,50203.89,-62.45,86.73,29.53,12.03,
